ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:oh/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:ok/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ok/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ok/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ok/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ok/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:or/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:or/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:or/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:or/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:or/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:18,,,legislatorLowerBody,
ocd-division/country:us/territory:pr,,,legislatorLowerBody,
ocd-division/country:us/state:ri/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ri/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:sc/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:tn/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:18,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:19,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:20,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:21,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:22,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:23,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:24,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:25,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:26,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:27,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:28,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:29,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:30,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:31,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:32,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:33,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:34,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:35,,,legislatorLowerBody,
ocd-division/country:us/state:tx/cd:36,,,legislatorLowerBody,
ocd-division/country:us/state:ut/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ut/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ut/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ut/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:va/cd:11,,,legislatorLowerBody,
ocd-division/country:us/territory:vi,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:2,,,legislatorLowerBody,
